CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,FISCAL_YEAR_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
1998,010201000000,City of Albany,City,Albany,12/31,A1001,"Real Property Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,REAL PROPERTY TAXES,,32031005,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A10101,"Legislative Board, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,349620,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A10102,"Legislative Board, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,2203,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A10104,"Legislative Board, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,145493,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A10108,"Legislative Board, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,71004,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1030,"Special Assessments",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,SPECIAL ASSESSMENTS,,122669,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1081,"Other Payments In Lieu of Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,PAYMENTS IN LIEU OF TAXES,,1631372,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1090,"Interest & Penalties On Real Prop Taxes",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,INTEREST & PENALTIES,,223444,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1091,"Interest & Penalties On Spec Assessments",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,INTEREST & PENALTIES,,198,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A11101,"Municipal Court, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,33710,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A11104,"Municipal Court, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,273,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A11108,"Municipal Court, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,7158,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1120,"Non Prop Tax Dist By County",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,SALES TAX DISTRIBUTION,,23356824,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1130,"Utilities Gross Receipts Tax",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,UTILITIES GROSS RECEIPTS TAX,,1899615,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1134,"Priv Tax On Coin-Operated Devices",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,MISCELLANEOUS USE TAXES,,10450,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1150,"O.T.B. Surtax",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER NON-PROPERTY TAXES,MISCELLANEOUS NON-PROPERTY TAXES,,294557,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1170,"Franchises",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER NON-PROPERTY TAXES,FRANCHISES,,664682,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A12101,"Mayor, Pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,450432,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A12102,"Mayor, Equip & Cap Outlay",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,2294,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A12104,"Mayor, Contr Expend",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,29151,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A12108,"Mayor, Empl Bnfts",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,66055,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1230,"Treasurer Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,1489,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1240,"Comptroller Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,34,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1245,"Tax Arrears Board Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,3343,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1250,"Assessors Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,27302,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1255,"Clerk Fees",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,1531,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A1289,"Other General Departmental Income",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,3581,2023-12-29
1998,010201000000,City of Albany,City,Albany,12/31,A13151,"Comptroller,pers Serv",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,301938,2023-12-29
