CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,CLASS_DESCRIPTION,COUNTY,PERIOD_START,PERIOD_END,ACCOUNT_CODE,ACCOUNT_CODE_NARRATIVE,ACCOUNT_CODE_SECTION,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,SNAPSHOT_DATE
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1001,"Real Property Taxes",REVENUE,Real Property Taxes and Assessments,Real Property Taxes,"",60588054,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A10101,"Legislative Board",EXPENDITURE,General Government,Administration,"Personal Services",507814,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A10102,"Legislative Board",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",30600,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A10104,"Legislative Board",EXPENDITURE,General Government,Administration,"Contractual",23789,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A10108,"Legislative Board",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",126529,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1081,"Other Payments In Lieu of Taxes",REVENUE,Other Real Property Tax Items,Payments In Lieu Of Taxes,"",19239150,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1090,"Interest and Penalties on Real Prop Taxes",REVENUE,Other Real Property Tax Items,Interest And Penalties,"",390244,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1116,"Tax on Adult-Use Cannabis",REVENUE,Other Non-Property Taxes,Miscellaneous Non-Property Taxes,"",30535,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1120,"Non Property Tax Distribution by County",REVENUE,Sales and Use Tax,Sales Tax Distribution,"",45261939,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1130,"Utilities Gross Receipts Tax",REVENUE,Sales and Use Tax,Utilities Gross Receipts Tax,"",2331535,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1134,"Privilege Tax on Coin Operated Devices",REVENUE,Sales and Use Tax,Miscellaneous Use Taxes,"",210,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1150,"OTB Surtax",REVENUE,Other Non-Property Taxes,Miscellaneous Non-Property Taxes,"",123179,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1170,"Franchise Tax",REVENUE,Other Non-Property Taxes,Franchises,"",1047966,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A12101,"Mayor",EXPENDITURE,General Government,Administration,"Personal Services",574488,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A12102,"Mayor",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",5964,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A12104,"Mayor",EXPENDITURE,General Government,Administration,"Contractual",117036,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A12108,"Mayor",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",116146,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1255,"Clerk Fees",REVENUE,Charges for Services,General Government Fees,"",18914,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A1289,"Other General Departmental Income",REVENUE,Charges for Services,General Government Fees,"",576378,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A13201,"Auditor",EXPENDITURE,General Government,Administration,"Personal Services",437864,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A13202,"Auditor",EXPENDITURE,General Government,Administration,"Equipment and Capital Outlay",1427,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A13204,"Auditor",EXPENDITURE,General Government,Administration,"Contractual",108031,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A13208,"Auditor",EXPENDITURE,Employee Benefits,Unclassified Employee Benefits,"Employee Benefits",113738,2025-12-31
2023,010201000000,City of Albany,City,Albany,2023-01-01,2023-12-31,A13251,"Treasurer",EXPENDITURE,General Government,Administration,"Personal Services",1149565,2025-12-31
