Muni Code,Entity Name,County,District Type,Fiscal Year End Date,Enrollment,Full Value,Total Debt Outstanding at End of FY,Real Property Taxes,Special Assessments,Star Payments,Payments in Lieu of Taxes,Gain from Sale of Tax Acquired Property,Interest & Penalties,Miscellaneous Tax Items,Sales Tax,Sales Tax Distribution,Utilities Gross Receipts Tax,Miscellaneous Use Taxes,Franchises,Emergency Telephone System Surcharge,City Income Tax,Miscellaneous Non-Property Taxes,General Government Fees,Education Fees,Public Safety Fees,Health Fees,Transportation Fees,Social Service Fees,Economic Development Fees,Culture and Recreation Fees,Community Services Fees,Utility Fees,Sanitation,Miscellaneous Fees,General Government Charges,Education Charges,Public Safety Charges,Health Charges,Transportation Charges,Social Services Charges,Culture and Recreation Charges,Community Services Charges,Utility Charges,Sanitation Charges,Debt Service Charges,Miscellaneous Intergovernmental Charges,Interest and Earnings,Rental of Property,Sale of Property,Fines,Forfeitures,Compensation for Loss,Library Grants from Local Governments,Miscellaneous Grants from Local Governments,Gifts,Employee Contributions,Miscellaneous Revenues,,State Aid - General Government,State Aid - Education,State Aid - Health,State Aid - Public Safety,State Aid - Transportation,State Aid - Social Services,State Aid - Economic Development,State Aid - Culture and Recreation,State Aid - Community Services,State Aid - Utilities,State Aid - Sanitation,Unrestricted State Aid,Miscellaneous State Aid,Mortgage Tax,Federal Aid - General Government,Federal Aid - Education,Federal Aid - Public Safety,Federal Aid - Health,Federal Aid - Transportation,Federal Aid - Social Services,Federal Aid - Economic Development,Federal Aid - Culture and Recreation,Federal Aid - Community Services,Federal Aid - Utilities,Federal Aid - Sanitation,Miscellaneous Federal Aid,,Sale of Obligations,BANS Redeemed from Appropriations,Miscellaneous Debt Proceeds,Transfers,Miscellaneous Other Sources,,Operations,Administration,County Distribution of Sales Tax,Miscellaneous General Government,Zoning and Planning,Judgements,Instruction,Instructional Support,Pupil Services,Education - Transportation,Student Activities,Community College,Miscellaneous Education,Public Safety Administration,Police,Fire Protection,Emergency Response,Correctional Services,Disaster Response,Homeland Security and Civil Defense,Miscellaneous Public Safety,Public Health Administration,Public Health Services,Mental Health Services,Environmental Services,Public Health Facilities,Miscellaneous Public Health,Highways,Highway Services to Other Govts,Bus Service,Airports,Rail Service,Waterways,Transportation Facilities,Transportation Ancillary,Miscellaneous Transportation,Public Facilities,Miscellaneous Social Services,Social Service Administration,Financial Assistance,Medicaid,Non-Medicaid Medical Assistance,Housing Assistance,Employment Services,Youth Services,Economic Development Administration,Development Infrastructure,Promotion,Economic Development Grants,Miscellaneous Economic Development,Recreation Services,Adult Recreation,Youth Recreation,Library,Miscellaneous Cultural and Recreation,Cultural Services,Constituent Services,Elder Services,Natural Resources,Student Census,Miscellaneous Community Services,Water,Electricity,Natural Gas,Steam,Sewer,Storm Sewer,Refuse and Garbage,Landfill Closures,Drainage,Miscellaneous Sanitation,Retirement - State/Local,Retirement - Police & Fire,Retirement - Teacher,LOSAP / Miscellaneous,Social Security,Medical Insurance,Disability Insurance,Life Insurance,Worker's Compensation,Unemployment Insurance,Union Benefits Program,Unclassified Employee Benefits,Debt Principal,Interest on Debt,,Transfers
460700200100,Addison Central School District,Steuben,Central,2017-06-30 00:00:00,1064,388653653,20880000,5788257,0,1268519,367689,0,23096,0,0,0,0,0,0,0,0,0,0,39454,0,0,0,0,0,0,0,0,0,4535,0,0,0,0,0,0,0,0,0,0,0,0,84899,20192,153788,0,100,549,0,0,12008,0,919955,8683041,0,21058338,0,0,0,0,0,0,0,0,0,0,0,0,0,1560046,0,0,0,542830,0,0,0,0,0,0,31844255,0,2600000,0,5145393,0,39589648,2093907,1738807,0,0,0,0,13347521,1323175,485225,1284886,378256,0,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278660,0,884629,0,745638,3111149,0,0,100520,4256,0,570959,3975000,793000,31216098,5145393
300608200100,Adirondack Central School District,Oneida,Independent Superintendent,2017-06-30 00:00:00,1218,698095271,17336921,8418962,0,1379652,67704,0,25725,0,0,0,0,0,0,0,0,0,0,19121,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,57067,10000,274012,0,0,2443,0,0,99970,0,359769,10716525,0,17941578,0,0,0,0,0,0,0,0,0,0,0,0,0,883953,0,0,0,510232,0,0,0,0,0,0,30052288,0,0,0,59622,0,30111910,8552731,1276677,0,0,0,2756,12201738,812955,563783,1866225,307141,0,100378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460758,0,1021557,0,962378,5143191,40486,0,205712,4482,0,1892,2280000,477471,36370754,59622
080700300100,Afton Central School District,Chenango,Central,2017-06-30 00:00:00,494,216482067,7921267,3616470,0,797505,4012,0,21812,0,0,0,0,0,0,0,0,0,0,47074,0,0,0,0,0,0,0,0,0,4282,0,0,0,0,0,0,0,0,0,0,0,0,41289,19134,101449,0,0,0,0,0,19525,0,370310,5042862,0,10010317,0,0,0,0,0,0,0,0,0,0,0,0,0,303688,0,0,0,278259,0,0,0,0,0,0,15635126,172563,0,0,12378,0,15820067,1327750,1055079,0,0,0,0,6400347,893636,436489,666469,222419,0,17351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37161,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,278072,0,534008,0,593055,1946807,0,10535,139882,79,0,40317,750414,175113,15712505,12378
140758200100,Akron Central School District,Erie,Central,2017-06-30 00:00:00,1354,594170101,24233063,8006559,0,1587631,491065,0,13562,0,0,1173017,0,0,0,0,0,0,0,14974,0,0,0,0,0,0,0,0,0,12088,0,0,0,0,0,0,0,0,0,0,0,1592137,213007,61437,280539,0,0,19283,0,0,74244,0,1306058,14845601,0,17203719,0,0,0,0,0,0,0,0,0,0,0,0,0,807901,0,0,0,479698,0,0,0,0,0,0,33336919,18546269,254259,0,1301361,0,53438808,8352287,1300519,0,10099,0,0,13418159,1359565,612618,1378359,577780,0,88640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447926,0,1258418,0,891441,2922160,0,11884,171825,7459,0,106250,2944259,867041,36829891,1301361
010501000000,Albany City School District,Albany,City Public School,2017-06-30 00:00:00,11849,4901783126,140311058,106439000,0,9233608,5296812,0,1391220,0,0,0,3749092,0,0,0,0,0,0,582329,0,0,0,0,0,0,0,0,0,9049,0,0,0,1191664,0,0,0,0,0,0,0,0,164604,94421,40193,0,0,26455,0,0,1700,0,3899181,132119328,0,103841239,0,0,0,0,0,0,0,0,0,0,0,0,0,11780279,11760,0,0,7203582,0,0,0,0,0,0,254956188,0,0,0,20063553,0,275019741,20337267,2853399,0,1839156,0,0,149308770,6703802,13051065,8471263,965374,0,58942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548896,0,9054059,0,7295731,25865439,0,0,929607,-16000,30000,2806380,9380026,5687677,267289984,20063553
340600500100,Albion Central School District,Orleans,Independent Superintendent,2017-06-30 00:00:00,1829,541588594,4205000,6458124,0,1897379,157086,0,21500,0,0,0,0,0,0,0,0,0,0,68871,0,0,0,0,0,0,0,0,0,15118,0,0,0,0,0,0,0,0,0,0,0,0,26311,12890,105508,0,1700,57079,0,0,35441,0,227903,9084910,0,26410372,0,0,0,0,0,0,0,0,0,0,0,0,0,1009713,0,0,0,620102,0,0,0,0,0,0,37125097,0,0,0,2491032,0,39616129,6565191,552926,0,311,0,0,16126041,1528885,923421,1994747,728007,0,48457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351474,0,1462161,0,1113008,3437759,0,0,60763,2163,0,277929,1785000,215750,37232574,2491032
140600700100,Alden Central School District,Erie,Independent Superintendent,2017-06-30 00:00:00,1607,839829696,10227315,12152267,0,2404295,47982,0,5302,0,0,1854639,0,0,0,0,0,0,0,43919,0,0,0,0,0,0,0,0,0,7201,0,0,0,30636,0,0,0,0,0,0,0,0,150869,19000,294727,0,0,2005,0,0,7540,0,210048,17230430,0,15424811,0,0,0,0,0,0,0,0,0,0,0,0,0,924365,0,0,0,389395,0,0,0,0,0,0,33969001,7352315,90000,0,148289,0,41559605,5771529,1216646,0,4293,0,0,14080430,1499555,980154,2154587,476188,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540785,0,1310882,0,1127168,3630903,9095,2895,202116,5152,7920,374550,1650000,291478,35421867,173764
180700800200,Alexander Central School District,Genesee,Central,2017-06-30 00:00:00,800,283382946,2745000,4706555,0,1242857,0,0,9209,0,0,0,0,0,0,0,0,0,0,183562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3539,80600,5619,0,0,29230,0,0,3527,0,371187,6635886,0,10639462,0,0,0,0,0,0,0,0,0,0,0,0,0,396358,0,0,0,47331,0,0,0,0,0,0,17719037,0,0,0,2642452,0,20361489,6475266,921189,0,506,0,0,8017047,296291,334258,757704,320665,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278791,0,685545,0,587055,1681887,0,0,91113,1078,0,160431,775000,142185,21567428,2642452
220700900200,Alexandria Central School District,Jefferson,Central,2017-06-30 00:00:00,522,618561642,7984940,6618815,0,428739,45999,0,17905,0,0,0,0,0,0,0,0,0,0,6138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36909,500,98622,0,0,0,0,0,3344,0,257062,7514033,0,4784446,0,0,0,0,0,0,0,0,0,0,0,0,0,470896,0,0,0,199700,0,0,0,0,0,0,12969075,0,0,0,379076,0,13348151,4413092,580891,0,24669,0,0,5465891,526803,297670,869913,165397,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156042,0,401765,0,341427,2062710,0,0,58924,3392,0,119262,720659,61055,16314245,379076
020701000100,Alfred-Almond Central School District,Allegany,Central,2017-06-30 00:00:00,612,207743790,10090522,3974053,0,956344,0,0,11294,0,0,0,0,0,0,0,0,0,0,57254,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,71272,0,0,0,0,0,0,23198,5834,0,94418,0,0,-3089,0,0,14772,0,811046,6017866,0,7467755,0,0,0,0,0,0,0,0,0,0,0,0,0,336552,0,0,0,205574,0,0,0,0,0,0,14027747,3795408,384462,0,260221,0,18467838,1255092,680721,0,0,0,0,5909138,415078,175606,700162,180121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,0,0,0,0,0,0,0,0,0,0,0,166875,0,460970,0,403216,1450387,0,0,70947,448,0,59369,1254557,341880,13563556,260221
