Muni Code,Entity Name,County,Class Description,Fiscal Year End Date,Months in Fiscal Period,Enrollment,Full Value,Debt Outstanding,Real Property Taxes,Special Assessments,Star Payments,Payments in Lieu of Taxes,Gain from Sale of Tax Acquired Property,Interest & Penalties,Miscellaneous Tax Items,Sales Tax,Sales Tax Distribution,Utilities Gross Receipts Tax,Miscellaneous Use Taxes,Franchises,Emergency Telephone System Surcharge,City Income Tax,Miscellaneous Non-Property Taxes,General Government Fees,Education Fees,Public Safety Fees,Health Fees,Transportation Fees,Social Service Fees,Economic Development Fees,Culture and Recreation Fees,Community Services Fees,Utility Fees,Sanitation Fees,Miscellaneous Fees,General Government Charges,Education Charges,Public Safety Charges,Health Charges,Transportation Charges,Social Services Charges,Culture and Recreation Charges,Community Services Charges,Utility Charges,Sanitation Charges,Debt Service Charges,Miscellaneous Intergovernmental Charges,Interest and Earnings,Rental of Property,Sale of Property,Fines,Forfeitures,Compensation for Loss,Library Grants from Local Governments,Miscellaneous Grants from Local Governments,Gifts,Employee Contributions,Miscellaneous Revenues,,State Aid - General Government,State Aid - Education,State Aid - Health,State Aid - Public Safety,State Aid - Transportation,State Aid - Social Services,State Aid - Economic Development,State Aid - Culture and Recreation,State Aid - Community Services,State Aid - Utilities,State Aid - Sanitation,Unrestricted State Aid,Miscellaneous State Aid,Mortgage Tax,Federal Aid - General Government,Federal Aid - Education,Federal Aid - Public Safety,Federal Aid - Health,Federal Aid - Transportation,Federal Aid - Social Services,Federal Aid - Economic Development,Federal Aid - Culture and Recreation,Federal Aid - Community Services,Federal Aid - Utilities,Federal Aid - Sanitation,Miscellaneous Federal Aid,,Sale of Obligations,BANS Redeemed from Appropriations,Miscellaneous Debt Proceeds,Transfers,Miscellaneous Other Sources,,Operations,Administration,County Distribution of Sales Tax,Miscellaneous General Government,Zoning and Planning,Judgements,Instruction,Instructional Support,Pupil Services,Education - Transportation,Student Activities,Community College,Miscellaneous Education,Public Safety Administration,Police,Fire Protection,Emergency Response,Correctional Services,Disaster Response,Homeland Security and Civil Defense,Miscellaneous Public Safety,Public Health Administration,Public Health Services,Mental Health Services,Environmental Services,Public Health Facilities,Miscellaneous Public Health,Highways,Highway Services to Other Govts,Bus Service,Airports,Rail Service,Waterways,Transportation Facilities,Transportation Ancillary,Miscellaneous Transportation,Public Facilities,Miscellaneous Social Services,Social Service Administration,Financial Assistance,Medicaid,Non-Medicaid Medical Assistance,Housing Assistance,Employment Services,Youth Services,Economic Development Administration,Development Infrastructure,Promotion,Economic Development Grants,Miscellaneous Economic Development,Recreation Services,Adult Recreation,Youth Recreation,Library,Miscellaneous Cultural and Recreation,Cultural Services,Constituent Services,Elder Services,Natural Resources,Student Census,Miscellaneous Community Services,Water,Electricity,Natural Gas,Steam,Sewer,Storm Sewer,Refuse and Garbage,Landfill Closures,Drainage,Miscellaneous Sanitation,Retirement - State/Local,Retirement - Police & Fire,Retirement - Teacher,LOSAP / Miscellaneous,Social Security,Medical Insurance,Disability Insurance,Life Insurance,Worker's Compensation,Unemployment Insurance,Union Benefits Program,Unclassified Employee Benefits,Debt Principal,Interest on Debt,,Transfers
460700200100,Addison Central School District,Steuben,Central,06/30/2018,12,1030,398077660,17460000,5904121,0,1223706,376665,0,24848,0,0,0,0,0,0,0,0,0,0,115384,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,0,0,0,0,0,0,0,0,10760,23923,121055,0,308,4475,0,0,8956,0,847554,8663370,0,21719770,0,0,0,0,0,0,0,0,0,0,0,0,0,1411158,0,0,0,670849,0,0,0,0,0,0,32465147,8375000,2025000,0,1515864,0,44381011,3493023,1068159,0,8627,0,0,14390598,1167595,550045,1398368,403195,0,14531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291223,0,757223,0,761738,3377710,0,0,110259,13003,0,532622,3420000,672250,32470450,1515864
300608200100,Adirondack Central School District,Oneida,Independent Superintendent,06/30/2018,12,1201,701004410,14645921,8411790,0,1328664,108469,0,23311,0,0,0,0,0,0,0,0,0,0,24361,0,0,0,0,0,0,0,0,0,1747,0,0,0,0,0,0,0,0,0,0,0,47,510126,9000,306552,0,0,1073,0,0,329652,0,396317,11451109,0,17534402,0,0,0,0,0,0,0,0,0,0,0,0,0,836816,0,0,0,513439,0,0,0,0,0,0,30335766,2550000,281000,0,139947,0,33306713,3372976,959908,0,0,0,11716,11811819,816503,566819,2010340,308551,0,1257895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581163,0,841704,0,955813,5388357,48011,0,209399,16923,0,1932,2671000,464980,32296496,139947
080700300100,Afton Central School District,Chenango,Central,06/30/2018,12,516,217125237,7420545,3660326,0,795891,4019,0,21868,0,0,0,0,0,0,0,0,0,0,155778,0,0,0,0,0,0,0,0,0,2738,0,0,0,0,0,0,0,0,0,0,0,0,17212,21249,54305,0,0,0,0,0,0,0,812383,5545769,0,10384743,0,0,0,0,0,0,0,0,0,0,0,0,0,332519,2456,0,0,355698,0,0,0,0,0,0,16621185,278019,0,0,62979,0,16962183,2025851,788558,0,0,0,0,6156519,947464,336580,979329,246345,0,2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59794,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,266562,0,427445,0,514729,2005127,0,10501,155320,1290,0,68135,778742,164239,15936879,62979
140758200100,Akron Central School District,Erie,Central,06/30/2018,12,1364,638271225,21399635,8142094,0,1553154,436408,0,8595,0,0,1217868,0,0,0,0,0,0,0,2696,0,0,0,0,0,0,0,0,0,10232,0,0,0,0,0,0,0,0,0,0,0,1600831,106135,61150,259314,0,0,16664,0,0,148651,0,375823,13939615,0,17326919,0,0,0,0,0,0,0,0,0,0,0,0,0,777457,0,0,0,456413,0,0,0,0,0,0,32500404,0,250815,0,80831,0,32832050,2341450,764377,0,22139,0,0,13276229,1518181,673224,1480154,513391,0,58383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462516,0,1113466,0,967609,3070839,0,11790,175316,1377,0,105373,3105815,1146858,30808487,80831
010501000000,Albany City School District,Albany,City Public School,06/30/2018,12,11969,4850848407,137409782,107603403,0,9000736,6699213,0,1105738,0,0,0,4259266,0,0,0,0,0,0,805007,0,0,0,0,0,0,0,0,0,7725,0,0,0,1087740,0,0,0,0,0,0,0,0,2976724,117558,39299,0,0,14716,0,0,5966,0,3732549,137455640,0,115090787,0,0,0,0,0,0,0,0,0,0,0,0,0,11546027,0,0,0,7312918,0,0,0,0,0,0,271405372,16140000,0,0,14390797,0,301936169,25007227,3126295,0,1430350,0,0,150490999,7323754,15749706,9182876,1027072,0,64853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554767,0,7643361,0,7707954,26810518,0,0,1479602,4764,30000,3007169,10101276,5222444,277964987,14390797
340600500100,Albion Central School District,Orleans,Independent Superintendent,06/30/2018,12,1805,545772189,0,6680238,0,1782998,105914,0,19664,0,0,0,0,0,0,0,0,0,0,65503,0,0,0,0,0,0,0,0,0,14925,0,0,0,0,0,0,0,0,0,0,0,0,35341,12331,95051,0,0,0,0,0,41875,0,265466,9119306,0,27279009,0,0,0,0,0,0,0,0,0,0,0,0,0,1132914,0,0,0,550689,0,0,0,0,0,0,38081918,0,0,0,11481276,0,49563194,9527073,560674,0,217,0,0,15903692,1802133,978589,2000113,724089,0,50334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330356,0,1212062,0,1100619,3658924,0,0,66912,1431,0,310658,4205000,158063,42615179,11481276
140600700100,Alden Central School District,Erie,Independent Superintendent,06/30/2018,12,1622,866627412,8305000,12340205,0,2302808,46648,0,5886,0,0,1781172,0,0,0,0,0,0,0,40895,0,0,0,0,0,0,0,0,0,6320,0,0,0,29333,0,0,0,0,0,0,0,0,86100,17500,358384,0,0,0,0,0,4225,0,223789,17243265,0,15777512,0,0,0,0,0,0,0,0,0,0,0,0,0,882359,0,0,0,362623,0,0,0,0,0,0,34265759,0,0,0,6143215,0,40408974,3924886,788042,0,9508,0,0,14633365,1487380,995755,2292313,521733,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611531,0,1165150,0,1160013,3906842,8716,3382,224025,2198,8174,257523,1922315,277999,34200950,6169732
180700800200,Alexander Central School District,Genesee,Central,06/30/2018,12,840,285881367,1900000,4830472,0,1215276,0,0,11772,0,0,0,0,0,0,0,0,0,0,167070,0,0,0,0,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,0,0,235176,50,2844,0,0,5868,0,0,8070,0,327312,6813410,0,11221057,0,0,0,0,0,0,0,0,0,0,0,0,0,377104,0,0,0,51425,0,0,0,0,0,0,18462996,1640000,0,0,370445,0,20473441,1977596,695301,0,1561,0,0,7966887,341511,398896,1037778,328374,0,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303262,0,603623,0,615261,1854367,0,0,84886,2412,0,121702,805000,102015,17274701,370445
220700900200,Alexandria Central School District,Jefferson,Central,06/30/2018,12,503,604645607,7581352,6767136,0,421313,46719,0,15676,0,0,0,0,0,0,0,0,0,0,4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70817,500,119052,0,0,1037,0,0,2706,0,211879,7661474,0,4792038,0,0,0,0,0,0,0,0,0,0,0,0,0,433635,0,0,0,175964,0,0,0,0,0,0,13063111,6090000,0,0,292915,0,19446026,3122478,753168,0,15937,0,0,5590580,481460,322960,973306,206113,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156687,0,402852,0,375312,2213545,0,0,51795,209,0,38946,293588,264266,15263702,292915
020701000100,Alfred-Almond Central School District,Allegany,Central,06/30/2018,12,599,211224099,8924851,4025496,0,934186,0,0,10466,0,0,0,0,0,0,0,0,0,0,82620,0,0,0,0,0,0,0,0,0,1279,0,0,0,0,49810,0,0,0,0,0,0,27802,9210,0,93422,0,0,4260,0,0,315,0,218817,5457683,0,7866158,0,0,0,0,0,0,0,0,0,0,0,0,0,347946,0,0,0,232549,0,0,0,0,0,0,13904336,5384054,0,0,120938,0,19409328,1339386,596248,0,0,0,0,6164294,434562,183372,611101,179975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,0,0,0,0,0,0,0,0,0,0,0,166338,0,409292,0,404061,1715893,0,0,75743,557,0,65430,1054334,424045,13825997,120938
