Muni Code,Entity Name,County,Class Description,Fiscal Year End Date,Months in Fiscal Period,Enrollment,Full Value,Debt Outstanding,Real Property Taxes,Special Assessments,Star Payments,Payments in Lieu of Taxes,Gain from Sale of Tax Acquired Property,Interest & Penalties,Miscellaneous Tax Items,Sales Tax,Sales Tax Distribution,Utilities Gross Receipts Tax,Miscellaneous Use Taxes,Franchises,Emergency Telephone System Surcharge,City Income Tax,Miscellaneous Non-Property Taxes,General Government Fees,Education Fees,Public Safety Fees,Health Fees,Transportation Fees,Social Service Fees,Economic Development Fees,Culture and Recreation Fees,Community Services Fees,Utility Fees,Sanitation Fees,Miscellaneous Fees,General Government Charges,Education Charges,Public Safety Charges,Health Charges,Transportation Charges,Social Services Charges,Culture and Recreation Charges,Community Services Charges,Utility Charges,Sanitation Charges,Debt Service Charges,Miscellaneous Intergovernmental Charges,Interest and Earnings,Rental of Property,Sale of Property,Fines,Forfeitures,Compensation for Loss,Library Grants from Local Governments,Miscellaneous Grants from Local Governments,Gifts,Employee Contributions,Miscellaneous Revenues,,State Aid - General Government,State Aid - Education,State Aid - Health,State Aid - Public Safety,State Aid - Transportation,State Aid - Social Services,State Aid - Economic Development,State Aid - Culture and Recreation,State Aid - Community Services,State Aid - Utilities,State Aid - Sanitation,Unrestricted State Aid,Miscellaneous State Aid,Mortgage Tax,Federal Aid - General Government,Federal Aid - Education,Federal Aid - Public Safety,Federal Aid - Health,Federal Aid - Transportation,Federal Aid - Social Services,Federal Aid - Economic Development,Federal Aid - Culture and Recreation,Federal Aid - Community Services,Federal Aid - Utilities,Federal Aid - Sanitation,Miscellaneous Federal Aid,,Sale of Obligations,BANS Redeemed from Appropriations,Miscellaneous Debt Proceeds,Transfers,Miscellaneous Other Sources,,Operations,Administration,County Distribution of Sales Tax,Miscellaneous General Government,Zoning and Planning,Judgements,Instruction,Instructional Support,Pupil Services,Education - Transportation,Student Activities,Community College,Miscellaneous Education,Public Safety Administration,Police,Fire Protection,Emergency Response,Correctional Services,Disaster Response,Homeland Security and Civil Defense,Miscellaneous Public Safety,Public Health Administration,Public Health Services,Mental Health Services,Environmental Services,Public Health Facilities,Miscellaneous Public Health,Highways,Highway Services to Other Govts,Bus Service,Airports,Rail Service,Waterways,Transportation Facilities,Transportation Ancillary,Miscellaneous Transportation,Public Facilities,Miscellaneous Social Services,Social Service Administration,Financial Assistance,Medicaid,Non-Medicaid Medical Assistance,Housing Assistance,Employment Services,Youth Services,Economic Development Administration,Development Infrastructure,Promotion,Economic Development Grants,Miscellaneous Economic Development,Recreation Services,Adult Recreation,Youth Recreation,Library,Miscellaneous Cultural and Recreation,Cultural Services,Constituent Services,Elder Services,Natural Resources,Student Census,Miscellaneous Community Services,Water,Electricity,Natural Gas,Steam,Sewer,Storm Sewer,Refuse and Garbage,Landfill Closures,Drainage,Miscellaneous Sanitation,Retirement - State/Local,Retirement - Police & Fire,Retirement - Teacher,LOSAP / Miscellaneous,Social Security,Medical Insurance,Disability Insurance,Life Insurance,Worker's Compensation,Unemployment Insurance,Union Benefits Program,Unclassified Employee Benefits,Debt Principal,Interest on Debt,Total Expenditures,,Total Expenditures and Other Uses
460700200100,Addison Central School District,Steuben,Central,06/30/2024,12,936,549824346,31475000,6429030,0,914207,361478,0,23658,0,0,0,0,0,0,0,0,0,0,1411,0,0,0,0,0,0,0,0,0,1862,0,0,0,0,0,0,0,0,0,0,0,0,1178264,3000,37299,0,0,0,0,0,476,0,661990,9612675,0,27555352,0,0,0,0,0,0,0,0,0,0,0,0,0,2401379,0,0,0,749699,0,0,0,0,0,0,40319105,0,0,0,353501,0,40672606,18791630,1208476,0,1458,0,0,17831783,1584975,667822,1715425,452615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357567,0,822625,0,936488,3986230,0,0,203501,1584,0,366147,2705000,697738,52371637,353501,52725138
300608200100,Adirondack Central School District,Oneida,Independent Superintendent,06/30/2024,12,1097,930463670,20215000,9792259,0,1064681,103049,0,17743,0,0,0,0,0,0,0,0,0,0,67506,0,0,0,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,1632957,0,120959,0,0,1218,0,0,122951,0,572736,13497176,0,21313108,0,0,0,0,0,0,0,0,0,0,0,0,0,1864449,26184,0,0,912985,0,0,0,0,0,0,37613902,14600000,778774,0,567531,0,53560207,2213739,807202,0,0,0,347188,13665980,1092588,491008,2261437,439092,0,95746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496608,0,899638,0,967245,6897019,30664,0,189189,240,0,247363,2528774,1091865,34764190,567531,35331721
080700300100,Afton Central School District,Chenango,Central,06/30/2024,12,440,302718120,17216000,4343155,0,596584,4366,0,23614,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,8234,0,0,0,0,0,0,25416,0,0,0,0,0,1826963,25372,50587,0,0,636767,0,0,0,0,249446,7792004,0,13325911,0,0,0,0,0,0,0,0,0,0,0,0,0,1088877,10592,0,0,414202,0,0,0,0,0,0,22631586,13741000,645000,0,1100000,0,38117586,4131233,1093265,0,31193,0,0,8153496,1144353,537423,960170,354053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318825,0,467880,0,558957,2386913,0,11523,81421,1394,0,88527,1554400,780996,22682608,1100000,23782608
140758200100,Akron Central School District,Erie,Central,06/30/2024,12,1171,1124620570,13232723,9331194,0,938876,1199737,0,16741,0,0,1530406,0,0,0,0,0,0,0,19959,0,0,0,0,0,0,0,0,0,6433,0,0,0,0,0,0,0,0,0,0,0,2051085,915398,23089,190123,0,0,19261,0,0,26841,0,470524,16739667,0,19570167,0,0,0,0,0,0,0,0,0,0,0,0,0,1549070,0,0,0,751899,0,0,0,0,0,0,38610803,0,390044,0,3561261,0,42562108,2975674,1131571,0,14421,0,0,17605146,2140288,947529,2298528,749342,0,166446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561469,0,1349322,0,1091081,3857397,0,10892,190434,2667,0,398303,2905044,597954,38993508,3561261,42554769
010501000000,Albany City School District,Albany,City Public School,06/30/2024,12,11224,7004771713,261998982,115857540,0,5436325,6080889,0,512850,0,0,0,4833480,0,0,0,0,0,0,342816,0,0,0,0,0,0,0,0,0,0,0,0,0,1791983,0,0,0,0,0,0,0,0,4657899,102156,43909,0,0,391,0,0,3052,0,6917585,146580875,0,175766298,0,0,0,0,0,0,0,0,0,0,0,0,0,23470724,456276,0,0,6944983,0,0,0,0,0,0,353219156,0,0,0,489729,0,353708885,51673108,3858055,0,1026458,0,0,167047684,11661380,31376386,11811656,1285557,0,76091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2905608,0,9105504,0,8788052,40620245,0,0,1858099,-913,0,5046968,10248966,12167209,370556113,489729,371045842
340600500100,Albion Central School District,Orleans,Independent Superintendent,06/30/2024,12,1678,777353454,0,7250756,0,1198282,20018,0,19731,0,0,0,0,0,0,0,0,0,0,18476,0,0,0,0,0,0,0,0,0,6716,0,0,0,0,0,0,0,0,0,0,0,0,2470211,9635,68498,0,0,4398,0,0,19479,0,337452,11423652,0,36267467,0,0,0,0,0,0,0,0,0,0,0,0,0,4044141,185110,0,0,856452,0,0,0,0,0,0,52776822,0,0,0,717444,0,53494266,18024405,668807,0,0,0,0,20102757,2078997,1374338,3125108,511991,0,32370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346340,0,1359312,0,1154100,4774583,0,0,131822,14044,0,215587,3602,15,53985077,717444,54702521
140600700100,Alden Central School District,Erie,Independent Superintendent,06/30/2024,12,1480,1435177774,17227934,15265525,0,1679928,36724,0,9875,0,0,2395000,0,0,0,0,0,0,0,199202,0,0,0,0,0,0,0,0,0,658,0,0,0,47133,0,0,0,0,0,0,0,0,1165273,20305,314696,0,0,0,0,0,21609,0,486621,21642549,0,17021884,0,0,0,0,0,0,0,0,0,0,0,0,0,1734506,12900,0,0,491844,0,0,0,0,0,0,40903683,0,0,0,202932,0,41106615,3473439,943805,0,22018,0,0,16310990,2130568,1038798,2013251,575366,0,40857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581902,0,1242809,0,1276603,4130998,7738,2857,200599,9361,8612,275632,1930368,472037,36688608,202932,36891540
180700800200,Alexander Central School District,Genesee,Central,06/30/2024,12,705,398318808,10060000,5397973,0,871087,0,0,5528,0,0,0,0,0,0,0,0,0,0,180844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269680,0,28819,0,0,1891,0,0,1855,0,605521,8363198,0,14830937,0,0,0,0,0,0,0,0,0,0,0,0,0,945305,9929,0,0,39801,0,0,0,0,0,0,24189170,9900000,1195000,0,300285,0,35584455,9237024,721053,0,0,0,0,11072598,478213,494260,1530927,496126,0,18741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292834,0,708529,0,786335,2223276,0,0,10698,1069,0,203663,1515000,539025,30387969,300285,30688254
220700900200,Alexandria Central School District,Jefferson,Central,06/30/2024,12,448,914729348,8925000,8001130,0,327209,0,0,13943,0,0,0,0,0,0,0,0,0,0,7844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,841495,0,111755,0,0,4401,0,0,2964,0,2267445,11602186,0,6521135,0,0,0,0,0,0,0,0,0,0,0,0,0,757561,1163,0,0,248556,0,0,0,0,0,0,19130601,4420000,110000,0,218226,0,23878827,1981477,613703,0,0,0,0,7412858,773686,283055,2222298,244961,0,12315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165724,0,387198,0,473887,2279839,0,0,53079,1087,0,160049,925000,368088,18358304,218226,18576530
020701000100,Alfred-Almond Central School District,Allegany,Central,06/30/2024,12,492,290642879,10985000,4612540,0,660123,0,0,10021,0,0,0,0,0,0,0,0,0,0,8782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39270,0,0,0,0,0,0,6380,534888,0,37302,0,0,400,0,0,0,0,227222,6136928,0,11138984,0,0,0,0,0,0,0,0,0,0,0,0,0,667702,17282,0,0,283904,0,0,0,0,0,0,18244800,165000,0,0,205568,0,18615368,5494008,623079,0,0,0,0,7156583,684674,374353,668215,237116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,183892,0,464018,0,497740,1799572,0,0,33713,9523,0,103517,1274400,307581,19912984,205568,20118552
